2/1/2025;f1CON;42140;12961;DISCO 21;E04;36892;E04;Leonardo M;398;SUPERMERCADOS DISCO;0017-202535;Tapon para contenedor 700L/800L/1100L;1;$;44,066;148;210209;CONTENUR SL;148;0;0;0;0;146;28,92;Contenedores de residuos;STOCK;Residuos;148;3,358598466;398;SUPERMERCADOS DISCO DEL URUGUA;-0,01;5,117565698
2/1/2025;f1CONA;42148;9365;SANODELEITE SRL;L02;36892;L02;LOCAL 02 -;;;C700VE;Contenedor 4 Ruedas 660L Verde (0400);1;$;44,066;13835,27;2102;CONTENUR SL;13835,27;0;0;0;0;13835,27;6985,77;Contenedores de residuos;STOCK;Residuos;13835,27;313,967004;9365;SANODELEITE SRL;0;1,980493203
2/1/2025;f1CONT;42136;8226;SERVITEC;E171;36892;L02;LOCAL 02 -;;;BR050060TR;Bolsa residuo transp 50x60mm (15L,25L);5;$;44,066;813,6;2102;MONIPLAS;162,72;0;0;0;0;162,72;82;Contenedores de residuos;STOCK;Residuos;813,6;18,46321427;8226;SERVITEC;0;1,984390244
2/1/2025;f1CONT;42136;8226;SERVITEC;E171;36892;L02;LOCAL 02 -;;;BR100120TR;Bolsa residuo trasparente 100x120cm 120L;5;$;44,066;813,6;2102;MONIPLAS;162,72;0;0;0;;162,72;82;Contenedores de residuos;STOCK;Residuos;813,6;18,46321427;8226;SERVITEC;0;1,984390244
2/1/2025;f1CONT;42137;13272;METALURGICA CREA;L02;36892;L02;LOCAL 02 -;;;GLE412BP;" Rueda 4"""" goma c/base gir.tornillo";4;$;44,066;1319,65;921205;METALURGICA SCHIOPPA;366,57;0;146,63;146,63;0;366,57;80,48;Ruedas;STOCK;Ruedas;1319,65;29,94712477;13272;METALURGICA CREA;0,1;4,099310388
2/1/2025;f1CONT;42139;1526;SILVA RULEMANES;E179;36892;L02;LOCAL 02 -;1526;SILVA RULEMANES;R1225BIN;" Rueda Ø12"""" goma integral para 250 kg.";4;$;44,066;2217,06;011204;METALURGICA SCHIOPPA;739,02;0;739,02;739,02;0;739,02;304,15;Ruedas;STOCK;Ruedas;2217,06;50,31225888;1526;SILVA RULEMANES;0,25;1,82234095
2/1/2025;f1CONT;42143;2734;JUST E. TERREU;E170;36892;L02;LOCAL 02 -;;;0019-253493;Pata regulable ø40 c/tor galv. M8x30;12;$;44,066;927,48;1209;NINGBO YIFAN CONVEYO;77,29;0;0;0;0;77,29;9,72;Transportadores;STOCK;Movimiento y Almacenaje;927,48;21,04751963;2734;JUST TERREU;0;7,951646091
2/1/2025;f1CONT;42145;9023;UAM;E04;36892;E04;Leonardo M;;;PCONT4T420L;Pallet antiderr. Para 4 tambores 420lts;4;U$S;44,066;1968;2201;LAR PLASTICOS;492;0;0;0;0;492;238,67;Pallets;STOCK;Movimiento y Almacenaje;86721,888;1968;9023;MERCADO MODELO;0;2,061423723
2/1/2025;f1CONT;42145;9023;UAM;E04;36892;E04;Leonardo M;;;PCONT1T100L;Pallet antiderr. 100l 865x865x270;2;U$S;44,066;370;2201;LAR PLASTICOS;185;0;0;0;;185;83,53;Pallets;STOCK;Movimiento y Almacenaje;16304,42;370;9023;MERCADO MODELO;0;2,214773135
2/1/2025;f1CONT;42145;9023;UAM;E04;36892;E04;Leonardo M;;;EU4611VE;Cajon PP verde 600x400x120mm;3;U$S;44,066;31,5;200104;FOTMER CORPORATION S;10,5;0;0;0;;10,32;4,62;Cajones;STOCK;Movimiento y Almacenaje;1388,079;31,5;9023;MERCADO MODELO;-0,02;2,272727273
